Positive, Negative, Index
1,1,0.86846
1,2,0.69798
2,1,0.9084
1,3,0.56325
2,2,0.78126
3,1,0.92656
1,4,0.46566
2,3,0.66844
3,2,0.82341
4,1,0.93743
1,5,0.39185
2,4,0.57577
3,3,0.72641
4,2,0.84985
5,1,0.94486
1,6,0.33618
2,5,0.5037
3,4,0.64374
4,3,0.76502
5,2,0.86828
6,1,0.95033
1,7,0.29228
2,6,0.44483
3,5,0.57387
4,4,0.68964
5,3,0.79255
6,2,0.88201
7,1,0.95457
1,8,0.25751
2,7,0.39657
3,6,0.51584
4,5,0.62494
5,4,0.72387
6,3,0.81353
7,2,0.89271
8,1,0.95797
1,9,0.22911
2,8,0.35657
3,7,0.46784
4,6,0.56891
5,5,0.66336
6,4,0.7504
7,3,0.83011
8,2,0.90131
9,1,0.96077
1,10,0.20575
2,9,0.32342
3,8,0.42654
4,7,0.52041
5,6,0.61029
6,5,0.69336
7,4,0.77147
8,3,0.84358
9,2,0.90842
10,1,0.96313
1,11,0.18615
2,10,0.29507
3,9,0.39118
4,8,0.47999
5,7,0.5636
6,6,0.64328
7,5,0.71835
8,4,0.78906
9,3,0.85481
10,2,0.91441
11,1,0.96515
1,12,0.16955
2,11,0.27068
3,10,0.36033
4,9,0.44419
5,8,0.52212
6,7,0.59853
7,6,0.67035
8,5,0.73895
9,4,0.80373
10,3,0.86429
11,2,0.91953
12,1,0.96691
1,13,0.15535
2,12,0.24987
3,11,0.33404
4,10,0.4127
5,9,0.48709
6,8,0.55858
7,7,0.62751
8,6,0.69321
9,5,0.75629
10,4,0.81622
11,3,0.87247
12,2,0.92396
13,1,0.96845
1,14,0.14305
2,13,0.23157
3,12,0.31079
4,11,0.38495
5,10,0.45555
6,9,0.52257
7,8,0.58889
8,7,0.65209
9,6,0.71293
10,5,0.77133
11,4,0.82707
12,3,0.87955
13,2,0.92785
14,1,0.96981
1,15,0.13236
2,14,0.21544
3,13,0.29021
4,12,0.36017
5,11,0.42734
6,10,0.49146
7,9,0.55402
8,8,0.61471
9,7,0.67306
10,6,0.72992
11,5,0.78441
12,4,0.83652
13,3,0.8858
14,2,0.93128
15,1,0.97103
1,16,0.12293
2,15,0.20132
3,14,0.27186
4,13,0.33819
5,12,0.40205
6,11,0.46333
7,10,0.52228
8,9,0.58082
9,8,0.63717
10,7,0.69171
11,6,0.74477
12,5,0.79589
13,4,0.84488
14,3,0.89132
15,2,0.93435
16,1,0.97213
1,17,0.11463
2,16,0.18868
3,15,0.25551
4,14,0.31871
5,13,0.37927
6,12,0.4378
7,11,0.4942
8,10,0.54992
9,9,0.60415
10,8,0.65681
11,7,0.70811
12,6,0.75779
13,5,0.806
14,4,0.85233
15,3,0.89627
16,2,0.9371
17,1,0.97312
1,18,0.10722
2,17,0.17733
