Time,Positive,Negative,Value
0,1,1,0
1,1,1,0
1,1,2,0
1,2,1,0
2,1,1,-1.06938
2,1,2,-0.480676
2,2,1,-0.480676
2,1,3,0
2,2,2,0
2,3,1,0
3,1,1,-1.87037
3,1,2,-1.12922
3,2,1,-1.12922
3,1,3,-0.524074
3,2,2,-0.524074
3,3,1,-0.524074
3,1,4,0
3,2,3,0
3,3,2,0
3,4,1,0
4,1,1,-2.62759
4,1,2,-1.79504
4,2,1,-1.79504
4,1,3,-1.11526
4,2,2,-1.11526
4,3,1,-1.11526
4,1,4,-0.526554
4,2,3,-0.526554
4,3,2,-0.526554
4,4,1,-0.526554
4,1,5,0
4,2,4,0
4,3,3,0
4,4,2,0
4,5,1,0
5,1,1,-3.3491
5,1,2,-2.45204
5,2,1,-2.45204
5,1,3,-1.71959
5,2,2,-1.71959
5,3,1,-1.71959
5,1,4,-1.08527
5,2,3,-1.08527
5,3,2,-1.08527
5,4,1,-1.08527
5,1,5,-0.517919
5,2,4,-0.517919
5,3,3,-0.517919
5,4,2,-0.517919
5,5,1,-0.517919
5,1,6,0
5,2,5,0
5,3,4,0
5,4,3,0
5,5,2,0
5,6,1,0
6,1,1,-4.03964
6,1,2,-3.09313
6,2,1,-3.09313
6,1,3,-2.32031
6,2,2,-2.32031
6,3,1,-2.32031
6,1,4,-1.65102
6,2,3,-1.65102
6,3,2,-1.65102
6,4,1,-1.65102
6,1,5,-1.0524
6,2,4,-1.0524
6,3,3,-1.0524
6,4,2,-1.0524
6,5,1,-1.0524
6,1,6,-0.50593
6,2,5,-0.50593
6,3,4,-0.50593
6,4,3,-0.50593
6,5,2,-0.50593
6,6,1,-0.50593
6,1,7,0
6,2,6,0
6,3,5,0
6,4,4,0
6,5,3,0
6,6,2,0
6,7,1,0
7,1,1,-4.70302
7,1,2,-3.71663
7,2,1,-3.71663
7,1,3,-2.91125
7,2,2,-2.91125
7,3,1,-2.91125
7,1,4,-2.21377
7,2,3,-2.21377
7,3,2,-2.21377
7,4,1,-2.21377
7,1,5,-1.58993
7,2,4,-1.58993
7,3,3,-1.58993
7,4,2,-1.58993
7,5,1,-1.58993
7,1,6,-1.02044
7,2,5,-1.02044
7,3,4,-1.02044
7,4,3,-1.02044
7,5,2,-1.02044
7,6,1,-1.02044
7,1,7,-0.493192
7,2,6,-0.493192
7,3,5,-0.493192
7,4,4,-0.493192
7,5,3,-0.493192
7,6,2,-0.493192
7,7,1,-0.493192
7,1,8,0
7,2,7,0
7,3,6,0
7,4,5,0
7,5,4,0
7,6,3,0
7,7,2,0
7,8,1,0
8,1,1,-5.34238
8,1,2,-4.32271
8,2,1,-4.32271
8,1,3,-3.49016
8,2,2,-3.49016
8,3,1,-3.49016
8,1,4,-2.76914
8,2,3,-2.76914
8,3,2,-2.76914
8,4,1,-2.76914
8,1,5,-2.12425
8,2,4,-2.12425
8,3,3,-2.12425
8,4,2,-2.12425
8,5,1,-2.12425
8,1,6,-1.53554
8,2,5,-1.53554
8,3,4,-1.53554
8,4,3,-1.53554
8,5,2,-1.53554
8,6,1,-1.53554
8,1,7,-0.990509
8,2,6,-0.990509
8,3,5,-0.990509
8,4,4,-0.990509
8,5,3,-0.990509
8,6,2,-0.990509
8,7,1,-0.990509
8,1,8,-0.480676
8,2,7,-0.480676
8,3,6,-0.480676
8,4,5,-0.480676
8,5,4,-0.480676
8,6,3,-0.480676
8,7,2,-0.480676
8,8,1,-0.480676
8,1,9,0
8,2,8,0
8,3,7,0
8,4,6,0
8,5,5,0
8,6,4,0
8,7,3,0
8,8,2,0
8,9,1,0
9,1,1,-5.96034
9,1,2,-4.91219
9,2,1,-4.91219
9,1,3,-4.05638
9,2,2,-4.05638
9,3,1,-4.05638
9,1,4,-3.31523
9,2,3,-3.31523
9,3,2,-3.31523
9,4,1,-3.31523
9,1,5,-2.65233
9,2,4,-2.65233
9,3,3,-2.65233
